battleneturl,max_t_value,action_per_sec,played_protoss,played_terran,played_zerg,actions_before_t5,actions_before_t10,actions_before_t30,max_actions_between_t,min_actions_between_t,total_creation_hotkeys_count_per_sec,creation_hotkey_1,creation_hotkey_2,creation_hotkey_3,creation_hotkey_4,creation_hotkey_5,creation_hotkey_6,creation_hotkey_7,creation_hotkey_8,creation_hotkey_9,creation_hotkey_0,total_update_hotkeys_count_per_sec,update_hotkey_1,update_hotkey_2,update_hotkey_3,update_hotkey_4,update_hotkey_5,update_hotkey_6,update_hotkey_7,update_hotkey_8,update_hotkey_9,update_hotkey_0,total_use_hotkeys_count_per_sec,use_hotkey_1,use_hotkey_2,use_hotkey_3,use_hotkey_4,use_hotkey_5,use_hotkey_6,use_hotkey_7,use_hotkey_8,use_hotkey_9,use_hotkey_0,s_per_sec,base_per_sec,mineral_per_sec
http://eu.battle.net/sc2/en/profile/4234852/1/First/,1655.0,1.5486404833836858,1,0,0,6,11,15,21,0,0.0743202416918429,0.038066465256797584,0.022356495468277945,0.0006042296072507553,0.0030211480362537764,0.002416918429003021,0.0018126888217522659,0.0006042296072507553,0.0,0.002416918429003021,0.0030211480362537764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8241691842900302,0.21148036253776434,0.11178247734138973,0.24229607250755286,0.1540785498489426,0.0688821752265861,0.010876132930513595,0.0,0.0,0.0,0.024773413897280966,0.40725075528700905,0.03987915407854985,0.0030211480362537764
http://eu.battle.net/sc2/en/profile/3074362/1/Stardust/,1655.0,1.4549848942598187,1,0,0,9,21,52,16,0,0.056797583081571,0.03927492447129909,0.00906344410876133,0.004229607250755287,0.0018126888217522659,0.0,0.0,0.0,0.0006042296072507553,0.0006042296072507553,0.0012084592145015106,0.0018126888217522659,0.0018126888217522659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8640483383685801,0.27069486404833837,0.1299093655589124,0.2066465256797583,0.18610271903323264,0.0,0.0,0.0,0.009667673716012085,0.010876132930513595,0.050151057401812686,0.32507552870090634,0.0072507552870090634,0.0
http://eu.battle.net/sc2/en/profile/4234852/1/First/,1010.0,1.5346534653465347,1,0,0,8,9,38,20,0,0.04257425742574258,0.016831683168316833,0.00891089108910891,0.0009900990099009901,0.006930693069306931,0.0029702970297029703,0.0009900990099009901,0.0,0.0,0.0019801980198019802,0.0029702970297029703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8168316831683168,0.12871287128712872,0.12475247524752475,0.31683168316831684,0.12871287128712872,0.08712871287128712,0.01089108910891089,0.0,0.0,0.0019801980198019802,0.01782178217821782,0.42574257425742573,0.046534653465346534,0.0029702970297029703
http://eu.battle.net/sc2/en/profile/3074362/1/Stardust/,1005.0,1.581094527363184,1,0,0,7,15,41,16,1,0.05771144278606965,0.031840796019900496,0.013930348258706468,0.005970149253731343,0.0029850746268656717,0.0,0.0,0.0,0.0,0.0009950248756218905,0.001990049751243781,0.0009950248756218905,0.0009950248756218905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9064676616915422,0.25771144278606967,0.06965174129353234,0.24378109452736318,0.28258706467661693,0.0,0.0,0.0,0.0,0.013930348258706468,0.03880597014925373,0.39502487562189054,0.020895522388059702,0.0
http://eu.battle.net/sc2/en/profile/4234852/1/First/,540.0,1.3462962962962963,1,0,0,8,9,31,19,0,0.03888888888888889,0.018518518518518517,0.011111111111111112,0.001851851851851852,0.003703703703703704,0.001851851851851852,0.0,0.0,0.0,0.0,0.001851851851851852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7185185185185186,0.0962962962962963,0.07037037037037037,0.37037037037037035,0.15555555555555556,0.025925925925925925,0.0,0.0,0.0,0.0,0.0,0.3851851851851852,0.003703703703703704,0.0
http://eu.battle.net/sc2/en/profile/3074362/1/Stardust/,540.0,1.7092592592592593,1,0,0,9,20,48,16,2,0.07037037037037037,0.037037037037037035,0.024074074074074074,0.005555555555555556,0.001851851851851852,0.0,0.0,0.0,0.0,0.0,0.001851851851851852,0.003703703703703704,0.003703703703703704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0333333333333334,0.25925925925925924,0.1,0.3314814814814815,0.31851851851851853,0.0,0.0,0.0,0.0,0.0,0.024074074074074074,0.3962962962962963,0.005555555555555556,0.0
http://eu.battle.net/sc2/en/profile/4234852/1/First/,495.0,1.7797979797979797,1,0,0,8,9,40,24,0,0.06262626262626263,0.030303030303030304,0.020202020202020204,0.00202020202020202,0.00404040404040404,0.00202020202020202,0.00202020202020202,0.0,0.0,0.0,0.00202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9777777777777777,0.17373737373737375,0.06666666666666667,0.4767676767676768,0.21212121212121213,0.03636363636363636,0.012121212121212121,0.0,0.0,0.0,0.0,0.5353535353535354,0.00404040404040404,0.0
http://eu.battle.net/sc2/en/profile/3074362/1/Stardust/,495.0,1.8666666666666667,1,0,0,11,24,46,16,0,0.06666666666666667,0.050505050505050504,0.00808080808080808,0.006060606060606061,0.00202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.00202020202020202,0.00202020202020202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1414141414141414,0.3212121212121212,0.06262626262626263,0.4383838383838384,0.3191919191919192,0.0,0.0,0.0,0.0,0.0,0.0,0.44646464646464645,0.010101010101010102,0.0
http://eu.battle.net/sc2/en/profile/3401218/1/Welmu/,660.0,1.9878787878787878,1,0,0,3,4,48,18,0,0.09393939393939393,0.03636363636363636,0.045454545454545456,0.0015151515151515152,0.0030303030303030303,0.0030303030303030303,0.0030303030303030303,0.0015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2515151515151515,0.3409090909090909,0.16818181818181818,0.025757575757575757,0.5257575757575758,0.12121212121212122,0.03939393939393939,0.030303030303030304,0.0,0.0,0.0,0.4303030303030303,0.012121212121212121,0.0
http://eu.battle.net/sc2/en/profile/2896854/1/MǂForGG/,665.0,2.7263157894736842,0,1,0,3,31,67,44,0,0.05413533834586466,0.031578947368421054,0.013533834586466165,0.0015037593984962407,0.004511278195488722,0.0015037593984962407,0.0,0.0,0.0,0.0,0.0015037593984962407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9203007518796993,0.40150375939849625,0.16090225563909774,0.6135338345864662,0.4842105263157895,0.26015037593984963,0.0,0.0,0.0,0.0,0.0,0.5518796992481203,0.0,0.0
